,MAE,MSE,RMSE,R2
Linear Regression,30.314332935011905,1497.2834863806615,38.6947475296152,0.28747798886673137
Ridge Regression,30.314378919648224,1497.28445162853,38.694760002208696,0.287477529527963
Lasso Regression,31.213858551682748,1578.0453068449758,39.72461839772631,0.24904533715885868
Decision Tree,10.854219253974296,463.04795911921025,21.518549187136436,0.779646362172664
Random Forest,10.385751056416996,324.8475827505839,18.023528587670725,0.8454126722971274
Gradient Boosting,27.99938557946766,1285.7299828471025,35.85707716542304,0.3881513277308307
