,MAE,MSE,RMSE,R2
Linear Regression,31.531092241660872,1611.4382460383,40.14272345068655,0.23315442244023532
Ridge Regression,31.53109373782354,1611.4382582353028,40.14272360260702,0.23315441663596836
Lasso Regression,31.90900976341012,1646.145806376345,40.572722442256016,0.216637910424617
Decision Tree,28.73946025028618,1379.816161870972,37.1458767815618,0.3433779270303512
Random Forest,28.670408351779024,1367.2543773411905,36.97640298002485,0.3493557849697443
Gradient Boosting,29.711358371578516,1439.1440858119158,37.93605258605481,0.3151451627827826
