Model,Train MAE,Train MSE,Train RMSE,Train R2,Test MAE,Test MSE,Test RMSE,Test R2
Linear Regression,30.40671461886373,1511.1937224643355,38.874075197544386,0.28775516307458726,30.281447049913066,1494.755415919598,38.662066886285295,0.2886810381660714
Random Forest,4.340301447863606,54.214981254292425,7.363082320217018,0.974447789248748,8.879054276356472,237.4457278134039,15.409274084570107,0.8870051603083022
