,MAE,MSE,RMSE,R2
Linear Regression,30.28703686809805,1494.8742260110544,38.663603375927785,0.2886244992366852
Ridge Regression,30.287036894345704,1494.8742099450467,38.663603168161224,0.2886245068821206
Lasso Regression,30.60199681967987,1522.4967371684415,39.01918421966868,0.27547959556183843
Decision Tree,12.5019425231015,667.3456824463169,25.83303471228878,0.6824258785307507
Random Forest,11.178595224479421,347.3638004813568,18.637698368665504,0.8346977336187974
Gradient Boosting,27.70442045053166,1259.9237770734621,35.49540501351495,0.4004318943735583
