,MAE,MSE,RMSE,R2
Linear Regression,30.811832724284745,1541.6807123316892,39.264242159141304,0.2663503927828179
Ridge Regression,30.811833127135124,1541.6807028574992,39.264242038494764,0.2663503972913621
Lasso Regression,30.982319547251894,1557.275042500919,39.46232434235114,0.25892941766653255
Decision Tree,12.787793485510415,571.8883134067676,23.91418644668406,0.7278517963240219
Random Forest,12.460931389807632,440.202910938718,20.98101310563239,0.790517783531453
Gradient Boosting,28.933864656481138,1366.1002406555397,36.960793290398136,0.34990501148553965
