,MAE,MSE,RMSE,R2
Linear Regression,30.30095147219684,1496.503183926533,38.68466342010142,0.2878493164603134
Ridge Regression,30.30095161679745,1496.5031717751558,38.68466326304464,0.2878493222428682
Lasso Regression,30.601996819679865,1522.4967371684415,39.01918421966868,0.27547959556183843
Decision Tree,12.130069946392586,644.3193338969847,25.383446060316253,0.693383576472832
Random Forest,11.100508541697426,349.615984371119,18.698020867758142,0.8336259722528491
Gradient Boosting,27.883602279918016,1275.6612167623437,35.71639982924292,0.3929428168012704
