,Metric,Train,Test
0,MAE,4.903983399697148,9.967940702008496
1,MSE,65.50513887653453,294.1985583409491
2,RMSE,8.093524502745051,17.15221730100657
3,R2,0.9687440955242381,0.8597302717523242
